,product,class,code,name,image,price
258,CP03,고춧가루,CP,참맛청결고춧가루(청양중식) 1KG/고추나라,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub03/03//20190430111257e09fe74a70424ce68c4cbaa6bf7b75c4_dcp4.jpg,"14,000원"
259,CP04,고춧가루,CP,참맛청결고춧가루(청양중식) 1KG/고추나라  BOX (12),http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2023/02/14/891//20230214100555fdf803d8405a43148ed3fd397d14ea4c_gnyz.jpg,"157,900원"
260,FS00,액젓,FS,새우액젓 500G,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2021/01/06/521//202101061028158f52e3da685b4d5e831f987c6ba04deb_zu4i.jpg,"6,700원"
261,FS01,액젓,FS,까나리액젓 8KG/약목,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub01/01//20190430103259f56aa9d4ac1d497288fd7b260f46b854_ym3p.jpg,"39,500원"
262,FS02,액젓,FS,까나리액젓 800G/약목,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/05/496//20240805144155380b61a1d9de4aa3bcb5fd6f14dae194_fvg3.jpg,"6,800원"
263,FS03,액젓,FS,까나리액젓 400G/하선정,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2025/02/20/514//202502201343200690908bb4f74b6fa1a559ef92ae6151_n9nj.jpg,"3,800원"
264,FS04,액젓,FS,까나리액젓 4KG/약목,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2022/05/24/890//202205241012155bf139a7896d41c4a6e4624e194233e7_y7ho.jpg,"21,000원"
265,SY00,시럽,SY,달콤한케이크시럽 220G/오뚜기,http://jangfood1.hgodo.com/shop/external/fix/img/processed_food/sub02/01//2019043011301297d671b517b14fb798d1621d66f87081_3pkn.jpg,"1,600원"
266,SY01,시럽,SY,바닐라시럽 1L/모닌,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2021/05/03/937//202105030848356ab7b44b4b2d471caf9de09d190d60ee_x52o.jpg,"20,800원"
267,SY02,시럽,SY,핑크그레이프프룻시럽 1L/모닌,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2021/05/03/107//202105030914005fd782d8797045359168f69296fdb44e_batm.jpg,"20,800원"
268,SY03,시럽,SY,퓨어메이플시럽(100%) 250ML/(주)교토아이엔씨,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2021/11/26/581//20211126140700b69754d598854fac98a80893ea264a97_afpp.jpg,"9,900원"
269,SY04,시럽,SY,퓨어메이플시럽(100%) 500ML/(주)교토아이엔씨,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2021/11/29/813//202111291424102344ed4d77ff45c288e4979f21b63ffe_2lvj.jpg,"18,000원"
270,HO00,꿀,HO,아카시아맛청 2KG/푸드올마켓,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2020/09/18/662//20200918121445dd41ea7f3fd446e4b7e6d06ba7faaea0_v48j.jpg,"7,200원"
271,HO01,꿀,HO,사양벌꿀 2KG/(주)쌍계명차,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2022/11/21/711//20221121131745711b449373754204b6e433a634e23f5d_e7ne.jpg,"23,200원"
